country,year,wheat_yield_gap,rice_yield_gap,maize_yield_gap
United States,1918,,,8.299975
United States,1919,,,8.117964
United States,1920,,,7.9234
United States,1921,,,8.055202
United States,1922,,,8.149345
United States,1923,,,8.055202
United States,1924,,,8.412948
United States,1925,,,8.080307
United States,1926,,,8.187003
United States,1927,,,8.143069
United States,1928,,,8.149345
United States,1929,,,8.187003
United States,1930,,,8.513368
United States,1931,,,8.262318
United States,1932,,,8.136793
United States,1933,,,8.369015
United States,1934,,,8.626341
United States,1935,,,8.281147
United States,1936,,,8.632617
United States,1937,,,7.9861627
United States,1938,,,8.055202
United States,1939,,,7.9234
United States,1940,,,7.9861627
United States,1941,,,7.841809
United States,1942,,,7.578206
United States,1943,,,7.7539415
United States,1944,,,7.728836
United States,1945,,,7.72256
United States,1946,,,7.465234
United States,1947,,,8.004992
United States,1948,,,7.1012106
United States,1949,,,7.402471
United States,1950,,,7.402471
United States,1951,,,7.484062
United States,1952,,,7.176526
United States,1953,,,7.2455645
United States,1954,,,7.327156
United States,1955,,,7.1639733
United States,1956,,,6.8250556
United States,1957,,,6.7685695
United States,1958,,,6.486138
United States,1959,,,6.467309
United States,1960,,,6.366889
United States,1961,2.8530002,3.6073,5.8836174
United States,1962,2.7791,3.2515001,5.739264
United States,1963,2.7651,2.9850998,5.5384235
United States,1964,2.7256002,2.8393998,5.852236
United States,1965,2.6747003,2.6606998,5.149296
United States,1966,2.6912003,2.5858002,5.2120585
United States,1967,2.7225,2.3449001,4.7727203
United States,1968,2.5484,2.4699998,4.810378
United States,1969,2.4020002,2.5900998,4.4086976
United States,1970,2.3735,2.2536998,5.255992
United States,1971,2.1771002,2.1418,4.2706203
United States,1972,2.2617002,2.1620998,3.7120333
United States,1973,2.3352,2.6388998,4.06978
United States,1974,2.6267,2.453,5.287373
United States,1975,2.4018002,2.3214002,4.3773165
United States,1976,2.4225001,2.2031999,4.2768965
United States,1977,2.3971,2.4850001,4.101161
United States,1978,2.3464,2.4042997,3.4609833
United States,1979,2.1620002,2.2752,2.9275017
United States,1980,2.2087002,2.4839,4.0886087
United States,1981,2.1371,2.0285,2.965159
United States,1982,2.0741,2.1509,2.6952806
United States,1983,1.8091002,2.2768002,4.709958
United States,1984,1.8527,1.8776999,3.1032372
United States,1985,1.9403,1.3596001,2.39402
United States,1986,2.1433,1.0960002,2.3061523
United States,1987,1.927,1.2028999,2.2810473
United States,1988,2.1687,1.2498999,4.490289
United States,1989,2.2576,0.98339987,2.5007162
United States,1990,1.8033001,1.2325001,2.362639
United States,1991,2.1562002,1.0068998,2.9839883
United States,1992,1.8167002,1.0005999,1.5467253
United States,1993,1.8901,1.2536998,3.4798121
United States,1994,1.9330001,0.7449002,1.1011114
United States,1995,2.0535002,1.1293001,2.6764517
United States,1996,2.0211,0.57070017,1.8228812
United States,1997,1.8026001,0.82009983,1.8479862
United States,1998,1.5566001,1.0826998,1.3647146
United States,1999,1.5874002,0.8547001,1.4023714
United States,2000,1.6362002,0.3902998,1.2078085
United States,2001,1.7582002,0.1493001,1.1262169
United States,2002,2.1033,0.05700016,1.684803
United States,2003,1.4888,0.0,0.8751669
United States,2004,1.5574002,0.0,0.0
United States,2005,1.6369002,0.00549984,0.51742077
United States,2006,1.8614001,0.0,0.44210434
United States,2007,1.7554002,0.0,0.3416853
United States,2008,1.4425001,0.0,0.17850208
United States,2009,1.4703002,0.0,0.0
United States,2010,1.3433001,0.0,0.22243595
United States,2011,1.5178001,0.0,0.5864582
United States,2012,1.3446002,0.0,2.0739312
United States,2013,1.2927,0.0,0.0
United States,2014,1.5222001,0.0,0.0
United States,2015,1.5301001,0.0,0.0
United States,2016,0.9192002,0.0,0.0
United States,2017,1.3425002,0.0,0.0
United States,2018,1.2595,0.0,0.0
United States,2019,0.9854002,0.0,0.0
United States,2020,1.1183002,0.0,0.0
United States,2021,1.4795,0.0,0.0
United States,2022,1.3327,0.0,0.0
United States,2023,,,0.0
